disambiguated_entity_id,entity_name,number_of_unique_news_appeared_in
4279009998,oanh nguyen,1
1837121139,dan tehan,1
1835215793,david kimberlin,1
1138087855,david kipper,1
2566544563,jennifer dowd,1
2727413209,stephen anderson,1
3597775772,brian donohoe,1
4132316723,dongcheng wu,1
2360425428,brian mehling,1
3119842690,nova spivack,1
3906529264,david llewellyn smith,1
163303232,chen xuyan,1
3515490296,sadiq khan,1
3126445954,gerald keusch,1
1583771642,ahmed kazmi,1
1188473033,ken lyn kew,1
3732475786,gai peleg,1
1039971427,benjamin cowling,1
4244075202,michael roth,1
928334431,linda quick,1
3615663778,bao ping zhu,1
4263984626,scott mcnabb,1
2712243534,john gerrard,1
3853481508,catherine li,1
2472876318,petra zimmerman,1
2055244360,james o loan,1
2149953904,tim lang,1
1356476480,hollie coates,1
3071153411,alec watson,1
3059002688,josh lerner,1
3300366555,faezah a bux,1
4038205155,florence ader,1
282202450,ashraf al qedra,1
2813830964,lorenzo guerini,1
4054875918,craig r smith,1
2033176207,kerrie huxham,1
2582331810,mark zuckerberg,1
385511820,zhang xinmin,1
3593796877,dong guoju,1
4164277726,nortley meshe,1
3319920092,peter alexander,1
2244368943,alain gauthier,1
2732470291,harry fay,1
2569308995,joel n myers,1
4089375892,jason leitch,1
1756955705,rachel maddow,1
627704754,george w bush,1
4097507969,mike leavitt,1
2927801783,julie gerberding,1
1343040011,tom ridge,1
1665939970,steven marshall,1
2598290317,andrew slattery,1
3191788458,george weinhouse,1
