orig_index,raw_name,num_words
789,cathleen kaveny,2
790,cathrine jansson boyd,3
791,cathy cohen,2
792,cathy slemp,2
793,catriona,1
794,catriona greenwood,2
795,catriona saynor,2
796,cecilia emma sottilotta,3
797,cecilia soderberg naucler,3
798,cecilia muller,2
799,celeste kidd,2
800,celeste philip,2
801,celine gounder,2
802,celine thum,2
803,cepheid,1
804,cerny,1
805,cesunica ivey,2
806,cetron,1
807,chaand nagpaul,2
808,chad autry,2
809,chad bianco,2
810,chad chronister,2
811,chad cleaver,2
812,chad dodd,2
813,chad pecknold,2
814,chad sanborn,2
815,chad stone,2
816,chan chun,2
817,chandra ford,2
818,chant,1
819,chapel hill,2
820,charissa cheah,2
821,charlene babcock,2
822,charlene harrington,2
823,charles,1
824,charles ballard,2
825,charles barkley,2
826,charles bruen,2
827,charles camosy,2
828,charles chiu,2
829,charles dela cruz,3
830,charles edwards,2
831,charles gerba,2
832,charles j ogletree jr,4
833,charles lieber,2
834,charles lockwood,2
835,charles manski,2
836,charles michel,2
837,charles moore,2
838,charles ornstein,2
839,charles prosper,2
840,charles robertson,2
841,charles s bullock iii,4
842,charles schwab,2
843,charles stewart,2
844,charles stewart iii,3
845,charles swanton,2
846,charlie baker,2
847,charlie kirk,2
848,charlie swanton,2
849,charlier,1
850,charlton heston,2
851,chelsea,1
852,chen chien jen,3
853,chen guozhong,2
854,chen jingyu,2
855,chen katz,2
856,chen shih chung,3
857,chen xi,2
858,chen xuyan,2
859,cheng yung chi,3
860,cheryl healton,2
861,chesney fowler,2
862,chester spatt,2
863,chethan sathya,2
864,chiara lepora,2
865,chikwe ihekweazu,2
866,chip kahn,2
867,chip kelly,2
868,chiu cheng hsun,3
869,chloe taylor,2
870,cho sung il,3
871,choi eun hwa,3
872,choi jae wook,3
873,choi jaewook,2
874,choi jung hun,3
875,chong ja ian,3
876,chris anderson,2
877,chris beyrer,2
878,chris braden,2
879,chris carlson,2
880,chris chen,2
881,chris coons,2
882,chris craft,2
883,chris cuomo,2
884,chris dawson,2
885,chris dede,2
886,chris farnitano,2
887,chris hayes,2
888,chris higson,2
889,chris kratochvil,2
890,chris luke,2
891,chris martenson,2
892,chris murray,2
893,chris salcedo,2
894,chris sale,2
895,chris spitters,2
896,chris whitty,2
897,chris williams,2
898,chriscuomo,1
899,christ,1
900,christian bayer,2
901,christian dipaola,2
902,christian drosten,2
903,christian end,2
904,christian ramos,2
905,christian rose,2
906,christiane spitzmueller,2
907,christina francis,2
908,christina ghaly,2
909,christina greer,2
910,christina johns,2
911,christina tan,2
912,christina vandepol,2
913,christine carter toevs,3
914,christine jenkins,2
915,christine johnson,2
916,christine k johnson,3
917,christine kreuder johnson,3
918,christine moutier,2
919,christl donnelly,2
920,christophe jaffrelot,2
921,christopher anderson,2
922,christopher braden,2
923,christopher branden,2
924,christopher colwell,2
925,christopher crow,2
926,christopher d hillyer,3
927,christopher d landry,3
928,christopher dye,2
929,christopher fagundes,2
930,christopher foran,2
931,christopher fraser,2
932,christopher gill,2
933,christopher greene,2
934,christopher j bryan,3
935,christopher kellner,2
936,christopher lee,2
937,christopher leinberger,2
938,christopher m tedeschi,3
939,christopher mcknight nichols,3
940,christopher mores,2
941,christopher muller,2
942,christopher murray,2
943,christopher oldstone moore,3
944,christopher plowe,2
945,christopher r braden,3
946,christopher russo,2
947,christopher tex,2
948,christopher zahn,2
949,christy montegut,2
950,chryl n laird,3
951,chu yin,2
952,chuang shuk kwan,3
953,chuck schumer,2
954,chuck todd,2
955,chunlin leonhard,2
956,cindy vyskocil,2
957,cisse egbuonye,2
958,claire finkelstein,2
959,claire guest,2
960,claire hooker,2
961,claire hopkins,2
962,claire jean kim,3
963,claire standley,2
964,claire wheeler,2
965,clare farrell,2
966,clare gerada,2
967,clare hopkins,2
968,clare wenham,2
969,clarence tam,2
970,clarissa yang,2
971,claudia cohn,2
972,claudia lodesani,2
973,claudia paoloni,2
974,clay routledge,2
975,clayton kazan,2
976,clemens wendtner,2
977,clifford,1
978,clifford lane,2
979,clifton bingham,2
980,clint phillips,2
981,clinton,1
982,clive hamilton,2
983,clive palmer,2
984,codogno,1
985,cody hall,2
986,cohen,1
987,cole edmonson,2
988,coles,1
989,colette auerswald,2
990,colin camerer,2
991,colin camererquentin fottrell,3
992,colin furness,2
993,colin hutchinson,2
994,colleen kraft,2
995,colleen smith,2
996,collins anyachi,2
997,colm o morain,3
998,colts,1
999,comilla sasson,2
1000,connie savor price,3
1001,conrad fischer,2
1002,constance macintosh,2
1003,constantine tsamasfyros,2
1004,corey burchette,2
1005,cori cross,2
1006,cornelia griggs,2
1007,cory deburghgraeve,2
1008,courtney broaddus,2
1009,courtney cogburn,2
1010,courtney gidner,2
1011,courtney subramanian,2
1012,hisham el khider,4
1013,craig calhoun,2
1014,craig duncan,2
1015,craig garfield,2
1016,craig hedberg,2
1017,craig pirrong,2
1018,craig r smith,3
1019,craig richard,2
1020,craig shapiro,2
1021,craig smith,2
1022,craig spencer,2
1023,crawford,1
1024,cristina monet zilkha,3
1025,crystal watson,2
1026,cui jie,2
1027,cui tiankai,2
1028,cuomo,1
1029,curtis hill,2
1030,curtis houck,2
1031,cynthia,1
1032,cynthia benson,2
1033,cynthia detata,2
1034,cynthia jumper,2
1035,cynthia rohrbeck,2
1036,cyntoria johnson,2
1037,cyrus shahpar,2
1038,dafoe,1
1039,dagen mcdowell,2
1040,daichi oshimi,2
1041,dakotah lane,2
1042,dale fisher,2
1043,dale needham,2
1044,dali yang,2
1045,damian caraballo,2
1046,damnha miller,2
1047,dan ariely,2
1048,dan crenshaw,2
1049,dan doyle,2
1050,dan epps,2
1051,dan mccarthy,2
1052,dan patrick,2
1053,dan schnur,2
1054,dan suan,2
1055,dan tehan,2
1056,dan varga,2
1057,dan wakeford,2
1058,dan wallach,2
1059,dana fisher,2
1060,dana garfin,2
1061,dana gold,2
1062,dana perino,2
1063,dana radcliffe,2
1064,dania rajendra,2
1065,daniel aldana cohen,3
1066,daniel alpert,2
1067,daniel aobdia,2
1068,daniel batlle,2
1069,daniel berliner,2
1070,daniel bober,2
1071,daniel books,2
1072,daniel brooks,2
1073,daniel connors,2
1074,daniel crane,2
1075,daniel diekema,2
1076,daniel fein,2
1077,daniel fletcher,2
1078,daniel freeman,2
1079,daniel gluckstein,2
1080,daniel griffin,2
1081,daniel grossman,2
1082,daniel jolley,2
1083,daniel kim,2
1084,daniel klein,2
1085,daniel kreiss,2
1086,daniel kuritzkes,2
1087,daniel leussink tokyo,3
1088,daniel levitin,2
1089,daniel lucey,2
1090,daniel lucy,2
1091,daniel lopez regalado,3
1092,daniel mcquillen,2
1093,daniel rascher,2
1094,daniel reardon,2
1095,daniel reaven,2
1096,daniel roshan,2
1097,daniel rusyniak,2
1098,daniel scarparolo,2
1099,daniel schneider,2
1100,daniel schnieder,2
1101,daniel sumner,2
1102,daniel taylor,2
1103,daniel tokaji,2
1104,daniel varga,2
1105,daniel w drezner,3
1106,daniel wallace,2
1107,daniel winetsky,2
1108,daniela ferrari,2
1109,daniela trezzi,2
1110,danielle anderson,2
1111,danielle citron,2
1112,danielle mcmullen,2
1113,danielle ompad,2
1114,danielle stansky,2
1115,dannagal young,2
1116,danny avula,2
1117,danny meyer,2
1118,dara kass,2
1119,darby fox,2
1120,darby saxbe,2
1121,darcy ross,2
1122,darien sutton,2
1123,dario gil,2
1124,darius tahir,2
1125,daron cowley,2
1126,daron shaw,2
1127,darren linvill,2
1128,darria long,2
1129,darwin,1
1130,dau schmidt,2
1131,dave chokshi,2
1132,dave whitworth,2
1133,davey smith,2
1134,david a nace,3
1135,david abramson,2
1136,david agus,2
1137,david allen,2
1138,david archer,2
1139,david asman,2
1140,david barker,2
1141,david battinelli,2
1142,david bazzo,2
1143,david benton,2
1144,david berendes,2
1145,david berri,2
1146,david blumenthal,2
1147,david byrd,2
1148,david campbell,2
1149,david canon,2
1150,david carter,2
1151,david cennimo,2
1152,david chao,2
1153,david clara amit,3
1154,david clark,2
1155,david closs,2
1156,david dayen,2
1157,david desteno,2
1158,david dosa,2
1159,david dowdy,2
1160,david drew pinsky,3
1161,david eastwood,2
1162,david eisenman,2
1163,david fiorenza,2
1164,david fisman,2
1165,david freedman,2
1167,david gifford,2
1168,david goodsell,2
1169,david gordon,2
1170,david gorski,2
1171,david grabowski,2
1172,david greenberg,2
1173,david gregg,2
1174,david halpern,2
1175,david hamer,2
1176,david hargroves,2
1177,david hepburn,2
1178,david hill,2
1179,david hirschwerk,2
1180,david ho,2
1181,david holland,2
1182,david hooper,2
1183,david hoyer,2
1184,david hui,2
1186,david ige,2
1187,david jackson,2
1188,david jewitt,2
1189,david kamin,2
1190,david katz,2
1191,david kennedy,2
1192,david kim,2
1193,david kimberlin,2
1194,david kipper,2
1195,david kroll,2
1196,david l heymann,3
1197,david l reich,3
1198,david larsen,2
1199,david levin,2
1200,david levine,2
1201,david llewellyn smith,3
1202,david lubarsky,2
1203,david m smith,3
1204,david mabey,2
1205,david mabuza,2
1206,david magnus,2
1207,david marcozzi,2
1208,david merin,2
1209,david michaels,2
1210,david muller,2
1211,david muscatello,2
1212,david mushatt,2
1213,david n fisman,3
1214,david nabarro,2
1215,david nace,2
1216,david nazarian,2
1217,david o connor,3
1218,david o reilly,3
1219,david oshinsky,2
1220,david pawlowski,2
1221,david persing,2
1222,david pierre,2
1223,david price,2
1224,david putrino,2
1225,david r boulware,3
1226,david r karp,3
1227,david r williams,3
1228,david rapoport,2
1229,david reese,2
1230,david reich,2
1231,david relman,2
1232,david ridley,2
1233,david ridpath,2
1234,david rosser,2
1235,david ryder,2
1236,david sanders,2
1237,david sanger,2
1238,david scheinker,2
1239,david schonthal,2
1240,david schwartz,2
1241,david sherwyn,2
1242,david shulkin,2
1243,david skegg,2
1244,david smith,2
1245,david speers,2
1246,david spiegel,2
1247,david spiegelhalter,2
1248,david staples,2
1249,david sullivan,2
1250,david tan,2
1251,david thomas,2
1252,david veesler,2
1253,david w hutton,3
1254,david walker,2
1255,david wallace,2
1256,david weber,2
1257,david williams,2
1258,david wrigley,2
1259,david zieg,2
1260,david ziehr,2
1261,davidson,1
1262,davis,1
1263,dawn emerick,2
1264,dawn nolt,2
1265,de blasio,2
1266,de jesus,2
1267,dean baker,2
1268,dean blumberg,2
1269,dean sidelinger,2
1270,dean winslow,2
1271,debbie birx,2
1272,debbie wasserman schultz,3
1273,deborah,1
1274,deborah brix,2
1275,deborah cao,2
1276,deborah kunselman,2
1277,deborah l birx,3
1278,deborah peel,2
1279,deborah prothrow stith,3
1280,debra a goff,3
1281,debra patt,2
1282,debra vasalech lyons,3
1283,debra vaselech lyons,3
1284,debra wadford,2
1285,deenan pillay,2
